"code", "description"
"001","Cholera"
"001.0","Cholera; Due to Vibrio cholerae"
"001.1","Cholera; Due to Vibrio cholerae el tor"
"001.9","Cholera; Cholera, unspecified"
"002","Typhoid and paratyphoid fevers"
"002.0","Typhoid and paratyphoid fevers; Typhoid fever"
"002.1","Typhoid and paratyphoid fevers; Paratyphoid fever A"
"002.2","Typhoid and paratyphoid fevers; Paratyphoid fever B"
"002.3","Typhoid and paratyphoid fevers; Paratyphoid fever C"
"002.9","Typhoid and paratyphoid fevers; Paratyphoid fever, unspecified"
"003","Other salmonella infections"
"003.0","Other salmonella infections; Salmonella gastroenteritis"
"003.1","Other salmonella infections; Salmonella septicemia"
"003.2","Other salmonella infections; Localized salmonella infections"
"003.20","Other salmonella infections; Localized salmonella infection, unspecified"
"003.21","Other salmonella infections; Salmonella meningitis"
"003.22","Other salmonella infections; Salmonella pneumonia"
"003.23","Other salmonella infections; Salmonella arthritis"
"003.24","Other salmonella infections; Salmonella osteomyelitis"
"003.29","Other salmonella infections; Other"
"003.8","Other salmonella infections; Other specified salmonella infections"
"003.9","Other salmonella infections; Salmonella infection, unspecified"
"004","Shigellosis"
"004.0","Shigellosis; Shigella dysenteriae"
"004.1","Shigellosis; Shigella flexneri"
"004.2","Shigellosis; Shigella boydii"
"004.3","Shigellosis; Shigella sonnei"
"004.8","Shigellosis; Other specified shigella infections"
"004.9","Shigellosis; Shigellosis, unspecified"
"005","Other food poisoning (bacterial)"
"005.0","Other food poisoning (bacterial); Staphylococcal food poisoning"
"005.1","Other food poisoning (bacterial); Botulism food poisoning"
"005.2","Other food poisoning (bacterial); Food poisoning due to Clostridium perfringens [C. welchii]"
"005.3","Other food poisoning (bacterial); Food poisoning due to other Clostridia"
"005.4","Other food poisoning (bacterial); Food poisoning due to Vibrio parahaemolyticus"
"005.8","Other food poisoning (bacterial); Other bacterial food poisoning"
"005.81","Other food poisoning (bacterial); Food poisoning due to Vibrio vulnificus"
"005.89","Other food poisoning (bacterial); Other bacterial food poisoning"
"005.9","Other food poisoning (bacterial); Food poisoning, unspecified"
"006","Amebiasis"
"006.0","Amebiasis; Acute amebic dysentery without mention of abscess"
"006.1","Amebiasis; Chronic intestinal amebiasis without mention of abscess"
"006.2","Amebiasis; Amebic nondysenteric colitis"
"006.3","Amebiasis; Amebic liver abscess"
"006.4","Amebiasis; Amebic lung abscess"
"006.5","Amebiasis; Amebic brain abscess"
"006.6","Amebiasis; Amebic skin ulceration"
"006.8","Amebiasis; Amebic infection of other sites"
"006.9","Amebiasis; Amebiasis, unspecified"
"007","Other protozoal intestinal diseases"
"007.0","Other protozoal intestinal diseases; Balantidiasis"
"007.1","Other protozoal intestinal diseases; Giardiasis"
"007.2","Other protozoal intestinal diseases; Coccidiosis"
"007.3","Other protozoal intestinal diseases; Intestinal trichomoniasis"
"007.4","Other protozoal intestinal diseases; Cryptosporidiosis"
"007.5","Other protozoal intestinal diseases; Cyclosporiasis"
"007.8","Other protozoal intestinal diseases; Other specified protozoal intestinal diseases"
"007.9","Other protozoal intestinal diseases; Unspecified protozoal intestinal disease"
"008","Intestinal infections due to other organisms"
"008.0","Intestinal infections due to other organisms; Escherichia coli [E. coli]"
"008.00","Intestinal infections due to other organisms; E. coli, unspecified"
"008.01","Intestinal infections due to other organisms; Enteropathogenic E. coli"
"008.02","Intestinal infections due to other organisms; Enterotoxigenic E. coli"
"008.03","Intestinal infections due to other organisms; Enteroinvasive E. coli"
"008.04","Intestinal infections due to other organisms; Enterohemorrhagic E. coli"
"008.09","Intestinal infections due to other organisms; Other intestinal E. coli infections"
"008.1","Intestinal infections due to other organisms; Arizona group of paracolon bacilli"
"008.2","Intestinal infections due to other organisms; Aerobacter aerogenes"
"008.3","Intestinal infections due to other organisms; Proteus (mirabilis) (morganii)"
"008.4","Intestinal infections due to other organisms; Other specified bacteria"
"008.41","Intestinal infections due to other organisms; Staphylococcus"
"008.42","Intestinal infections due to other organisms; Pseudomonas"
"008.43","Intestinal infections due to other organisms; Campylobacter"
"008.44","Intestinal infections due to other organisms; Yersinia enterocolitica"
"008.45","Intestinal infections due to other organisms; Clostridium difficile"
"008.46","Intestinal infections due to other organisms; Other anaerobes"
"008.47","Intestinal infections due to other organisms; Other gram-negative bacteria"
"008.49","Intestinal infections due to other organisms; Other"
"008.5","Intestinal infections due to other organisms; Bacterial enteritis, unspecified"
"008.6","Intestinal infections due to other organisms; Enteritis due to specified virus"
"008.61","Intestinal infections due to other organisms; Rotavirus"
"008.62","Intestinal infections due to other organisms; Adenovirus"
"008.63","Intestinal infections due to other organisms; Norwalk virus"
"008.64","Intestinal infections due to other organisms; Other small round viruses [SRV's]"
"008.65","Intestinal infections due to other organisms; Calicivirus"
"008.66","Intestinal infections due to other organisms; Astrovirus"
"008.67","Intestinal infections due to other organisms; Enterovirus NEC"
"008.69","Intestinal infections due to other organisms; Other viral enteritis"
"008.8","Intestinal infections due to other organisms; Other organism, not elsewhere classified"
"009","Ill-defined intestinal infections"
"009.0","Ill-defined intestinal infections; Infectious colitis, enteritis, and gastroenteritis"
"009.1","Ill-defined intestinal infections; Colitis, enteritis, and gastroenteritis of presumed infectious origin"
"009.2","Ill-defined intestinal infections; Infectious diarrhea"
"009.3","Ill-defined intestinal infections; Diarrhea of presumed infectious origin"
"010","Primary tuberculous infection"
"010.0","Primary tuberculous infection"
"010.00","Primary tuberculous infection; unspecified"
"010.01","Primary tuberculous infection; bacteriological or histological examination not done"
"010.02","Primary tuberculous infection; bacteriological or histological examination unknown (at present)"
"010.03","Primary tuberculous infection; tubercle bacilli found (in sputum) by microscopy"
"010.04","Primary tuberculous infection; tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
"010.05","Primary tuberculous infection; tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
"010.06","Primary tuberculous infection; tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
"010.1","Primary tuberculous infection; Tuberculous pleurisy in primary progressive tuberculosis"
"010.10","Primary tuberculous infection; Tuberculous pleurisy in primary progressive tuberculosis, unspecified"
"010.11","Primary tuberculous infection; Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done"
"010.12","Primary tuberculous infection; Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
"010.13","Primary tuberculous infection; Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
"010.14","Primary tuberculous infection; Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
"010.15","Primary tuberculous infection; Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
"010.16","Primary tuberculous infection; Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
"010.8","Primary tuberculous infection; Other primary progressive tuberculosis"
"010.80","Primary tuberculous infection; Other primary progressive tuberculosis, unspecified"
"010.81","Primary tuberculous infection; Other primary progressive tuberculosis, bacteriological or histological examination not done"
"010.82","Primary tuberculous infection; Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
"010.83","Primary tuberculous infection; Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
"010.84","Primary tuberculous infection; Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
"010.85","Primary tuberculous infection; Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
"010.86","Primary tuberculous infection; Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
"010.9","Primary tuberculous infection; Primary tuberculous infection, unspecified"
"010.90","Primary tuberculous infection; Primary tuberculous infection, unspecified, unspecified"
"010.91","Primary tuberculous infection; Primary tuberculous infection, unspecified, bacteriological or histological examination not done"
"010.92","Primary tuberculous infection; Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)"
"010.93","Primary tuberculous infection; Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy"
"010.94","Primary tuberculous infection; tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
"010.95","Primary tuberculous infection; Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
"010.96","Primary tuberculous infection; Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
"011","Pulmonary tuberculosis"
"011.0","Pulmonary tuberculosis; Tuberculosis of lung, infiltrative"
"011.00","Pulmonary tuberculosis; Tuberculosis of lung, infiltrative, unspecified"
"011.01","Pulmonary tuberculosis; Tuberculosis of lung, infiltrative, bacteriological or histological examination not done"
"011.02","Pulmonary tuberculosis; Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)"
"011.03","Pulmonary tuberculosis; Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy"
"011.04","Pulmonary tuberculosis; Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
"011.05","Pulmonary tuberculosis; Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
"011.06","Pulmonary tuberculosis; Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
"011.1","Pulmonary tuberculosis; Tuberculosis of lung, nodular"
"011.10","Pulmonary tuberculosis; Tuberculosis of lung, nodular, unspecified"
"011.11","Pulmonary tuberculosis; Tuberculosis of lung, nodular, bacteriological or histological examination not done"
"011.12","Pulmonary tuberculosis; Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)"
"011.13","Pulmonary tuberculosis; Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy"
"011.14","Pulmonary tuberculosis; Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
"011.15","Pulmonary tuberculosis; Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
"011.16","Pulmonary tuberculosis; Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
"011.2","Pulmonary tuberculosis; Tuberculosis of lung with cavitation"
"011.20","Pulmonary tuberculosis; Tuberculosis of lung with cavitation, unspecified"
"011.21","Pulmonary tuberculosis; Tuberculosis of lung with cavitation, bacteriological or histological examination not done"
"011.22","Pulmonary tuberculosis; Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)"
"011.23","Pulmonary tuberculosis; Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy"
"011.24","Pulmonary tuberculosis; Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
"011.25","Pulmonary tuberculosis; Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
"011.26","Pulmonary tuberculosis; Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
"011.3","Pulmonary tuberculosis; Tuberculosis of bronchus"
"011.30","Pulmonary tuberculosis; Tuberculosis of bronchus, unspecified"
"011.31","Pulmonary tuberculosis; Tuberculosis of bronchus, bacteriological or histological examination not done"
"011.32","Pulmonary tuberculosis; Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)"
"011.33","Pulmonary tuberculosis; Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy"
"011.34","Pulmonary tuberculosis; Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
"011.35","Pulmonary tuberculosis; Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
"011.36","Pulmonary tuberculosis; Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
"011.4","Pulmonary tuberculosis; Tuberculous fibrosis of lung"
"011.40","Pulmonary tuberculosis; Tuberculous fibrosis of lung, unspecified"
"011.41","Pulmonary tuberculosis; Tuberculous fibrosis of lung, bacteriological or histological examination not done"
"011.42","Pulmonary tuberculosis; Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)"
"011.43","Pulmonary tuberculosis; Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy"
"011.44","Pulmonary tuberculosis; Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
"011.45","Pulmonary tuberculosis; Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
